objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Imhotep: The Pharaoh's Favors – Mini Expansion","234423","0","","0","1","0","0","0","0","0","0","0","1","","","","","","58990158","5.61586","7.26895","2","0","865","thing","Imhotep: The Pharaoh's Favors – Mini Expansion","2","4","40","0","40","2017","3,4","","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Imhotep: The Private Ships – Mini Expansion","213218","0","","0","1","0","0","0","0","0","0","0","1","","","","","","40148208","5.70029","7.41798","1.5","0","1147","thing","Imhotep: The Private Ships – Mini Expansion","2","4","40","0","40","2016","2,3,4","","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Imperial Settlers","154203","9","2","0","1","0","0","0","0","0","0","0","1","","","","","","34339164","7.23928","7.40664","2.7699","214","28416","thing","Imperial Settlers","1","4","90","90","45","2014","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Imperial Settlers: 3 Is a Magic Number","195543","0","","0","1","0","0","0","0","0","0","0","1","","","","","","34408762","6.12836","7.49273","2.75","0","4976","thing","Imperial Settlers: 3 Is a Magic Number","1","4","60","60","60","2016","1,2,3","2","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Imperial Settlers: Atlanteans","177739","0","","0","1","0","0","0","0","0","0","0","1","","","","","","34339165","6.44134","7.41615","2.881","0","7588","thing","Imperial Settlers: Atlanteans","1","5","90","90","45","2015","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Imperial Settlers: Aztecs","202459","0","","0","1","0","0","0","1","0","0","0","1","","","","","","35502170","6.16594","7.6139","2.625","0","4835","thing","Imperial Settlers: Aztecs","1","4","90","90","45","2016","1,2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Imperial Settlers: Empires of the North – Japanese Islands","287558","0","","0","1","0","0","0","0","0","0","0","3","","","","","","65333880","5.91028","8.0778","2.5","0","2083","thing","Imperial Settlers: Empires of the North – Japanese Islands","1","4","90","90","45","2019","2,3","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Imperial Settlers: Empires of the North – Roman Banners","295934","0","","0","1","0","0","0","0","0","0","0","3","","Outland","","","","69450146","5.83657","8.19804","3","0","1644","thing","Imperial Settlers: Empires of the North – Roman Banners","1","4","90","90","45","2020","1,2,3","1,2","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Imperial Settlers: Roll & Write","270836","0","","0","1","0","0","0","0","0","0","0","3","","Outland","","","","61457702","5.94473","6.45413","1.8333","2721","2958","thing","Imperial Settlers: Roll & Write","1","4","30","30","30","2019","1,2","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Imperial Settlers: We Didn't Start The Fire","238389","0","","0","1","0","0","0","1","0","0","0","1","","","","","","46739196","5.68549","7.28955","3","0","2130","thing","Imperial Settlers: We Didn't Start The Fire","1","4","90","90","45","2018","1,2,3","2","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Imperial Settlers: Why Can't We Be Friends","169075","0","","0","1","0","0","0","0","0","0","0","1","","","","","","34408760","6.62092","7.59247","2.6","0","8541","thing","Imperial Settlers: Why Can't We Be Friends","1","4","90","90","45","2014","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"IncrediBrawl","142653","6","4","0","1","0","0","0","0","0","0","0","3","","","","","","26618976","5.51307","5.74015","1.6667","14852","253","thing","IncrediBrawl","2","4","30","30","30","2014","4","4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Infinity Gauntlet: A Love Letter Game","304285","7","4","0","1","0","0","0","0","0","0","0","3","","Outland","","","","74315293","6.1321","7.21368","1.2222","1922","2834","thing","Infinity Gauntlet: A Love Letter Game","2","6","15","15","15","2020","2,3,4,5,6","4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Isle of Cats","281259","0","","0","1","0","0","0","0","0","0","0","3","","Kickstarter","","","","69024313","7.47327","8.03931","2.3221","108","12762","thing","The Isle of Cats","1","4","90","90","60","2019","1,2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Isle of Cats: Kickstarter Pack","287362","0","","0","1","0","0","0","0","0","0","0","1","","","","","","69024311","6.01405","8.06143","2","0","2461","thing","The Isle of Cats: Kickstarter Pack","1","4","90","90","60","2019","2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"The Isle of Cats: Late Arrivals","287361","0","","0","1","0","0","0","0","0","0","0","1","","","","","","69024308","6.07057","7.97754","2.1429","0","3383","thing","The Isle of Cats: Late Arrivals","1","6","120","120","60","2019","1,2,3,4,5,6","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Isle of Skye: From Chieftain to King","176494","0","","0","1","0","0","0","1","0","0","0","2","","","","","","35748131","7.27614","7.4333","2.2479","198","26686","thing","Isle of Skye: From Chieftain to King","2","5","50","50","30","2015","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Isle of Skye: From Chieftain to King – Brettspiel Adventskalender 2015 Promo Tiles","186067","0","","0","1","0","0","0","0","0","0","0","1","","","","","","36662922","5.6289","7.40992","2","0","794","thing","Isle of Skye: From Chieftain to King – Brettspiel Adventskalender 2015 Promo Tiles","2","5","50","50","30","2015","2,3,4,5","","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Istanbul: Big Box","251219","0","","0","1","0","0","0","1","0","0","0","3","","","","","","53512571","6.71748","8.09043","2.4595","0","4230","thing","Istanbul: Big Box","2","5","90","90","40","2018","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Jaipur","54043","0","","0","1","0","0","0","0","0","0","0","3","","christmas gift from FrostMist","","","","66977328","7.39525","7.50911","1.4905","138","54543","thing","Jaipur","2","2","30","30","30","2009","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jamaica","28023","7","2","0","1","0","0","0","1","0","0","0","3","","","","","","51302709","6.88924","7.05813","1.6539","497","21930","thing","Jamaica","2","6","60","60","30","2007","3,4,5,6","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jetpack Joyride","253215","0","","0","1","0","0","0","0","0","0","0","3","","","","","","53505061","5.84577","6.74298","1.1333","3291","1439","thing","Jetpack Joyride","1","4","20","20","20","2019","1,2,3,4","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Joking Hazard","193621","8","7","0","1","0","0","0","0","0","0","0","1","","","","","","33562384","6.09096","6.40864","1.0345","2071","10371","thing","Joking Hazard","3","10","90","90","30","2016","3,4,5,6,7","5","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Joking Hazard: Blast From The Past","211184","0","","0","1","0","0","0","0","0","0","0","1","","","","","","38040530","5.67494","7.27919","1.3333","0","1138","thing","Joking Hazard: Blast From The Past","3","10","90","90","30","2016","4,5,6,7","5,6","18–16","","","","","","","expansion","","","","","","","","","","","","","","",""
"Joking Hazard: Deck Enhancement #1","224058","0","","0","1","0","0","0","0","0","0","0","1","","","","","","44013773","5.71649","7.45119","1","0","1420","thing","Joking Hazard: Deck Enhancement #1","3","10","90","90","30","2017","4,5,6,7,8,9,10","6","16+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Joking Hazard: Trial by Trolley Exclusives","295541","0","","0","1","0","0","0","0","0","0","0","3","","Ks trail by trolley","","","","68734145","0","7.208","0","0","318","thing","Joking Hazard: Trial by Trolley Exclusives","3","10","90","90","30","2020","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Junta","242","0","","0","1","0","0","0","0","0","0","0","1","","","","","","52438901","6.37273","6.69373","2.8651","1253","8567","thing","Junta","2","7","240","240","240","1978","5,6,7","7","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Kanagawa","200147","0","","0","1","0","0","0","1","0","0","0","3","","","","","","35390000","6.77127","7.09681","2.0252","622","10919","thing","Kanagawa","2","4","45","45","45","2016","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Karuba","183251","7","2","0","1","0","0","0","0","0","0","0","1","","","","","","34977195","6.9247","7.20726","1.4624","460","12187","thing","Karuba","2","4","40","40","30","2015","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"KeyForge: Age of Ascension","272453","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","61016890","6.46316","7.44592","2.7619","1084","4439","thing","KeyForge: Age of Ascension","2","2","45","45","15","2019","2","2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"KeyForge: Age of Ascension – Archon Deck","272455","0","","0","1","0","0","0","0","0","1","0","3","","","","","","58511480","5.89081","7.61941","3","0","1493","thing","KeyForge: Age of Ascension – Archon Deck","2","2","45","45","15","2019","2","2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"KeyForge: Call of the Archons","257501","9","5","0","1","0","0","0","0","0","0","0","3","","","","","","53597217","6.95169","7.28238","2.459","428","14293","thing","KeyForge: Call of the Archons","2","2","45","45","15","2018","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"KeyForge: Call of the Archons – Archon Deck","257606","9","3","0","1","0","0","0","0","0","0","0","1","","","","","","55695885","6.41227","7.4324","2.2857","0","5032","thing","KeyForge: Call of the Archons – Archon Deck","2","2","45","45","15","2018","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"KeyForge: Mass Mutation","301607","0","","0","1","0","0","0","0","0","0","0","3","","Outland","","","","69320977","5.80283","8.26962","2.8333","3632","599","thing","KeyForge: Mass Mutation","2","2","45","45","15","2020","2","2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"KeyForge: Worlds Collide","285775","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","66060706","6.13895","7.75681","3.0714","1899","2000","thing","KeyForge: Worlds Collide","2","2","45","45","15","2019","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"KeyForge: Worlds Collide – Archon Deck","285780","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","66303514","5.70212","7.8902","3","0","697","thing","KeyForge: Worlds Collide – Archon Deck","2","2","45","45","15","2019","2","2","8+","","","","","","","expansion","","","","","","","","","","","","","","",""
"KeyForge: Worlds Collide – Premium Box","285781","6","","0","1","0","0","0","0","0","0","0","3","","Really bad value. Buy the starter set, the boxes are garbage","","","","66060691","5.59773","7.81159","3","0","237","thing","KeyForge: Worlds Collide – Premium Box","2","2","45","45","15","2019","2","2","8+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Kill The Unicorns","204602","0","","0","1","0","0","0","0","0","1","0","1","","","","","","47825931","5.69724","7.22279","1.9167","4839","1101","thing","Kill The Unicorns","3","6","45","45","25","2019","3,4,5,6","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Kill the Unicorns: The Underground Awakens","241692","0","","0","1","0","0","0","0","0","1","0","1","","","","","","47825933","0","7.44385","1","0","291","thing","Kill the Unicorns: The Underground Awakens","3","6","45","45","25","2019","4,5,6","4,5","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
"King of Tokyo","70323","8","8","0","1","0","0","0","0","0","0","0","3","","","","","","29326537","7.08815","7.18323","1.4934","313","82911","thing","King of Tokyo","2","6","30","30","30","2011","3,4,5,6","4,5","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"King of Tokyo/New York: Monster Pack – Anubis","250532","0","","0","1","0","0","0","1","0","0","0","3","","","","","","62472271","5.92228","7.62507","1.8333","0","2767","thing","King of Tokyo/New York: Monster Pack – Anubis","2","6","30","30","30","2018","3,4,5,6","4","6+","","","","","","","expansion","","","","","","","","","","","","","","",""
"King of Tokyo/New York: Monster Pack – Cthulhu","207292","0","","0","1","0","0","0","0","0","0","0","2","","","","","","36760576","6.23607","7.53436","2","0","5084","thing","King of Tokyo/New York: Monster Pack – Cthulhu","2","6","30","0","30","2017","3,4,5,6","3,4,6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"King of Tokyo/New York: Monster Pack – King Kong","233076","0","","0","1","0","0","0","1","0","0","0","3","","","","","","62472283","5.95474","7.38971","1.8889","0","3310","thing","King of Tokyo/New York: Monster Pack – King Kong","2","6","30","0","30","2017","2,3,4,5,6","4","6+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"King of Tokyo: Halloween","147183","0","","0","1","0","0","0","0","0","0","0","1","","","","","","46726166","6.74472","7.22444","1.7203","0","14546","thing","King of Tokyo: Halloween","2","6","30","30","30","2013","3,4,5,6","4,5","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"King of Tokyo: Power Up!","127067","0","","0","1","0","0","0","0","0","0","0","3","","","","","","53513119","7.31362","7.62339","1.7025","0","28194","thing","King of Tokyo: Power Up!","2","6","30","30","30","2012","3,4,5,6","4,5,6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdom Builder: Big Box","139993","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","26617734","6.32162","7.61008","2.3611","0","2741","thing","Kingdom Builder: Big Box","2","5","45","45","45","2014","2,3,4,5","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdom Builder: Marshlands","179622","0","","0","1","0","0","0","0","0","0","0","1","","","","","","33375022","5.86236","7.4848","2.25","0","2317","thing","Kingdom Builder: Marshlands","2","5","45","45","45","2016","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Kingdomino","204583","9","9","0","1","0","0","0","0","0","0","0","1","","","","","","46408873","7.22777","7.35352","1.2073","219","53661","thing","Kingdomino","2","4","15","15","15","2016","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdomino: Age of Giants","240909","0","","0","1","0","0","0","0","0","0","0","3","","","","","","52668758","6.45673","7.30886","1.6429","0","7304","thing","Kingdomino: Age of Giants","2","5","20","20","15","2018","2,3,4,5","5","6+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Kitchen Rush","223953","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","45767849","6.69548","7.39247","2.2364","727","4878","thing","Kitchen Rush","1","4","45","45","30","2017","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Kitchen Rush: KS Promos","239118","0","1","0","1","0","0","0","0","0","0","0","1","","","","","","49430146","5.58517","7.70379","2","0","612","thing","Kitchen Rush: KS Promos","1","4","45","45","30","2017","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Kitty Paw","180867","6","2","0","1","0","0","0","0","0","0","0","3","","","","","","38695755","5.56605","5.82469","1.2778","8760","1500","thing","Kitty Paw","1","4","30","30","15","2015","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Knit Wit","191982","0","","0","1","0","0","0","0","0","0","0","3","","","","","","50584429","5.75254","6.13889","1.7222","4122","2185","thing","Knit Wit","2","8","15","15","15","2016","3,4,5,6,7,8","6","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Kodama: The Tree Spirits","181810","0","","0","1","0","0","0","0","0","0","0","3","","","","","","35185103","6.41349","6.74581","1.6697","1169","9854","thing","Kodama: The Tree Spirits","2","5","30","30","30","2016","2,3,4,5","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Konja","223449","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","46219584","5.62729","6.66994","2.1111","6224","698","thing","Konja","2","2","60","60","30","2017","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kort på kanten","202514","8","9","1","1","0","0","0","0","0","0","0","3","","","","","","35272667","0","9.33333","1","0","4","thing","Kort på kanten","4","30","30","0","30","2016","4,5,6,7,8,9,10,11,12","6,7,8,9,10","","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Kort sagt sykt","243372","6","3","0","1","0","0","0","0","0","0","0","3","","","","","","49074730","0","6.5","0","0","3","thing","Kort sagt sykt","3","15","5","0","5","2016","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Labyrinth","1219","7","4","0","1","0","0","0","0","0","0","0","3","","","","","","50035020","6.23319","6.40684","1.3715","1605","19692","thing","Labyrinth","2","4","20","20","20","1986","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lanterns: The Emperor's Gifts","206244","0","","0","1","0","0","0","0","0","0","0","1","","","","","","38674795","5.98033","7.29919","1.7273","0","2905","thing","Lanterns: The Emperor's Gifts","2","4","30","30","30","2016","2,3,4","3,4","8+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Lanterns: The Harvest Festival","160851","7","3","0","1","0","0","0","0","0","0","0","1","","","","","","38674794","6.68724","6.9158","1.5695","742","16214","thing","Lanterns: The Harvest Festival","2","4","30","30","30","2015","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lanterns: The Harvest Festival – Snowflake Promo Tile","217513","0","","0","1","0","0","0","0","0","0","0","1","","","","","","40158842","5.55068","7.08846","0","0","376","thing","Lanterns: The Harvest Festival – Snowflake Promo Tile","2","4","30","0","30","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Larceny","147039","8","6","2","1","0","0","0","0","0","0","0","3","","","","","","23678196","5.49642","6","1.25","17224","101","thing","Larceny","3","10","5","5","5","2013","4,6","6","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Las Vegas: The Slot Machine","189199","0","","0","1","0","0","0","0","0","0","0","3","","","","","","32078234","5.61136","7.26467","1.5","0","494","thing","Las Vegas: The Slot Machine","2","5","0","0","0","2015","2,3,4,5","4","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Last Will","97842","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","27780978","6.94059","7.19406","2.7111","443","10504","thing","Last Will","2","5","75","75","45","2011","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Last Will: Getting Sacked","143063","0","","0","1","0","0","0","0","0","0","0","3","","","","","","27780982","6.21454","7.50675","2.6579","0","3207","thing","Last Will: Getting Sacked","2","5","75","75","45","2013","2,3,4,5","4","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Last Will: Messenger Promo Card","132436","0","","0","1","0","0","0","0","0","0","0","3","","","","","","27781012","5.7338","7.1317","2.2353","0","1628","thing","Last Will: Messenger Promo Card","2","5","60","60","60","2012","2,3,4,5","","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"LEGO: Life of George","116609","7","4","0","1","0","0","0","0","0","0","0","1","","","","","","26697321","0","5.98571","0","0","124","thing","LEGO: Life of George","1","4","15","15","15","2011","1,2,3","1,2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Lift Off! Get me off this Planet!","161681","8","4","0","1","0","0","0","0","0","0","0","3","","","","","","26579397","5.70955","6.85417","1.8438","4664","710","thing","Lift Off! Get me off this Planet!","2","5","45","45","30","2015","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Ligretto","943","7","23","0","1","0","0","0","0","0","0","0","1","","","","","","26697584","5.91314","6.1764","1.1864","2859","6573","thing","Ligretto","2","4","10","10","10","1988","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Little Drop of Poison","182487","0","","0","1","0","0","0","0","0","0","0","1","","","","","","38261209","5.54308","5.99457","1","10632","730","thing","Little Drop of Poison","3","8","30","30","15","2015","4,5,6,7,8","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"London (Second Edition)","236191","8","1","0","1","0","0","0","1","0","0","0","1","","","","","","46537767","7.05522","7.61312","2.6935","338","7001","thing","London (Second Edition)","2","4","90","90","60","2017","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Loony Quest: Bonusplättchen Skier","189376","0","","0","1","0","0","0","0","0","0","0","3","","","","","","32147663","5.52559","6.4678","1","0","383","thing","Loony Quest: Bonusplättchen Skier","2","5","30","30","20","2015","","","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"The Lord of the Rings","823","0","","0","1","0","0","0","1","0","0","0","1","","","","","","40461424","6.58659","6.75121","2.564","880","23383","thing","The Lord of the Rings","2","5","90","90","60","2000","1,2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings: Journeys in Middle-Earth","269385","0","","0","1","0","0","0","0","0","0","0","3","","","","","","59786619","7.55186","8.07858","2.5695","88","15844","thing","The Lord of the Rings: Journeys in Middle-Earth","1","5","120","120","60","2019","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings: Journeys in Middle-earth – Dwellers in Darkness Figure Pack","316630","0","","0","1","0","0","0","0","0","0","0","3","","","","","","79020033","5.75594","8.27818","3.5","0","1979","thing","The Lord of the Rings: Journeys in Middle-earth – Dwellers in Darkness Figure Pack","1","5","120","120","60","2020","1,2,3,4","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","Outland","","Outland","","","","","",""
"The Lord of the Rings: Journeys in Middle-earth – Shadowed Paths Expansion","299597","0","","0","1","0","0","0","0","0","0","0","3","","","","","","79908430","6.26186","8.78718","2.9","0","3428","thing","The Lord of the Rings: Journeys in Middle-earth – Shadowed Paths Expansion","1","5","120","120","60","2020","1,2,3,4,5","","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","Gamezone.no","","","","","","","",""
"The Lord of the Rings: Journeys in Middle-earth – Villains of Eriador Figure Pack","277721","0","","0","1","0","0","0","0","0","0","0","3","","Outland","","","","60392840","6.15159","7.86125","2.5833","0","4349","thing","The Lord of the Rings: Journeys in Middle-earth – Villains of Eriador Figure Pack","1","5","120","120","60","2019","1,2,3,4","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Lords & Ladies","147505","6","4","0","1","0","0","0","0","0","0","0","3","","","","","","26618867","5.60195","6.52719","1.6154","7018","507","thing","Lords & Ladies","2","5","60","60","60","2014","3,4,5","4,5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Legacy: Second Chronicle – Vorpal Sword & Whitegold Spire","173319","0","","0","1","0","0","0","0","0","0","0","3","","","","","","31594247","5.87326","6.80733","1.2917","3100","1941","thing","Lost Legacy: Second Chronicle – Vorpal Sword & Whitegold Spire","2","6","10","10","10","2015","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lotus","198525","7","7","0","1","0","0","0","0","0","0","0","1","","","","","","36321912","6.24541","6.73784","1.4444","1575","4605","thing","Lotus","2","4","30","30","30","2016","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter Premium","196326","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","36699019","6.90361","7.46333","1.3026","485","7888","thing","Love Letter Premium","2","8","30","30","20","2016","3,4,5,6,7,8","4,5,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter: Batman","168584","7","2","0","1","0","0","0","0","0","0","0","1","","","","","","33402170","6.80971","7.27038","1.1969","568","9129","thing","Love Letter: Batman","2","4","20","20","20","2015","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter: Legend of the Five Rings","129622","7","20","0","1","0","0","0","0","0","0","0","3","","","","","","27521263","7.14336","7.23459","1.192","284","93056","thing","Love Letter","2","4","20","20","20","2014","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Alderac Entertainment Group","English","2014","English edition 2014"
"Love Letter: The Hobbit – The Battle of the Five Armies","169611","6","1","0","1","0","0","0","0","0","0","0","1","","","","","","33402174","6.29209","7.10734","1.2642","1449","3245","thing","Love Letter: The Hobbit – The Battle of the Five Armies","2","4","30","30","20","2015","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Lovecraft Letter","198740","8","6","0","1","0","0","0","0","0","0","0","3","","","","","","38688606","6.60944","7.23122","1.4727","845","5634","thing","Lovecraft Letter","2","6","15","15","5","2017","3,4,5,6","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lucidity: Six-Sided Nightmares","222145","0","","0","1","0","0","0","0","0","0","0","1","","","","","","49430153","5.74013","6.39271","1.9474","4274","1794","thing","Lucidity: Six-Sided Nightmares","1","4","30","30","20","2018","1,2,3,4","1,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Machi Koro","143884","7","4","0","1","0","0","0","0","0","0","0","3","","","","","","56133968","6.52415","6.62861","1.5302","982","41033","thing","Machi Koro","2","4","30","30","30","2012","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","Got it as a gift from Christine and Rune (and insert from Frode and Sol)","","","","","",""
"Machi Koro Legacy","259081","0","","0","1","0","0","0","1","0","0","0","3","","","","","","65014820","6.18284","7.10175","2.1176","1764","3355","thing","Machi Koro Legacy","2","4","45","45","30","2019","2,3,4","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
